L'année fiscale se termine dans déc.CAD dans Des millions sauf données par action,déc. 19,déc. 18,déc. 17,déc. 16,déc. 15
Passifs courants,9227,8704,8641,6942,7222
Créditeurs et charges à payer,5628,5693,5624,5663,5404
Créditeurs,5628,5693,5624,5663,5404
Comptes créditeurs,5321,5302,5233,5091,5106
Total de l’impôt exigible,27,131,128,329,82
Impôt sur le résultat exigible,27,131,128,329,82
Dividendes à verser,—,—,—,—,—
Montants à payer à des parties liées courants,—,—,—,—,—
Autres créditeurs,—,—,—,—,—
Charges à payer courantes,—,—,—,—,—
Intérêt à verser,—,—,—,—,—
Provisions courantes,119,165,283,99,127
Régimes de retraite et autres régimes d’avantages complémentaires de retraite courants,—,—,—,—,—
Dette et obligation liée aux contrats de location courantes,3289,2618,2385,1180,1691
Dette courante,1870,2581,2341,1127,1635
Effets payables courants,—,—,—,—,—
Billet de trésorerie,—,—,—,—,—
Ligne de crédit,—,915,640,780,693
Autres emprunts courants,1870,2581,1701,347,942
Obligation liée aux contrats de location courante,1419,37,44,53,56
Passifs différés courants,—,—,—,—,—
Passifs d’impôt différé courants,—,—,—,—,—
Produits différés courants,—,—,—,—,—
Autres passifs à court terme,191,228,349,—,—
Total des passifs non courants,15761,9271,13372,14466,14011
Provisions à long terme,102,152,169,120,131
Dette et obligation liée aux contrats de location à long terme,13662,6433,9607,10547,10103
Dette à long terme,5971,5881,9018,9916,9440
Obligation liée aux contrats de location à long terme,7691,552,589,631,663
Passifs différés non courants,1539,2262,2129,2309,2393
Passifs d’impôt différé non courants,1539,1947,1989,2190,2292
Produits différés non courants,—,—,—,—,—
Fournisseurs et autres créditeurs non courants,—,—,—,—,—
Montants à payer à des parties liées non courants,—,—,—,—,—
Charges à payer non courantes,—,—,—,—,—
Avantages du personnel,442,405,437,439,433
Régimes de retraite et autres régimes d’avantages complémentaires de retraite non courants,320,294,325,327,312
Passifs liés aux produits dérivés,—,—,—,—,—
Titres privilégiés hors titres de capitaux propres,—,—,—,—,—
Actions ordinaires soumises à des restrictions,—,—,—,—,—
Passifs non courants détenus en vue de la vente,—,—,—,—,—
Autres passifs non courants,16,19,1030,1051,951
Total des capitaux propres avant déduction pour participation minoritaire,11321,12178,13134,13028,13124
Capitaux propres,11234,12119,13094,13002,13111
Capital-actions,7265,7383,7666,—,—
Actions privilégiées,—,—,—,—,—
Actions ordinaires,7044,7162,7445,—,—
Autre capital-actions,—,—,—,—,—
Surplus d’apport,100,107,110,8025,8174
Résultat non distribué,3822,4580,5280,4944,4914
Actions propres,—,—,—,—,—
Gains ou pertes sans incidence sur le résultat non distribué,47,49,38,33,23
Gain ou perte non réalisé,—,—,—,—,—
Passif minimum pour les régimes de retraite,—,—,—,—,—
Écarts de conversion,—,—,—,—,—
Réserve de réévaluation pour les immobilisations corporelles,—,—,—,—,—
Autres ajustements des capitaux propres,—,—,—,—,—
Autres titres de capitaux propres,—,—,—,—,—
Intérêts minoritaires,87,59,40,26,13
Capitalisation totale,17205,18000,22112,22918,22551
Actions privilégiées,221,221,221,—,221
Actions ordinaires,—,—,—,—,—
Engagements de location - acquisition,9110,589,633,684,719
Actifs corporels nets,—,—,—,—,—
Fonds de roulement,—,—,—,—,—
Capital investi,—,—,—,—,—
Valeur comptable des immobilisations corporelles,—,—,—,—,—
Total de la dette,—,—,—,—,—
Dette nette,—,—,—,—,—
Actions émises,—,—,—,—,—
Nombre d’actions ordinaires,—,—,—,—,—
Nombre d’actions privilégiées,—,—,—,—,—
Nombre d’actions propres,—,—,—,—,—
